arm,loss,seed,label,passes,total_injected,total_dropped,overhead_ratio,agent_claim,wall_s,airtime_fwd_s,rate_bps,ts_utc
smart,0,99,smart_L0_s99,3,2146,0,2.03,STUCK,1131,915.6,4800,2026-08-16T21:00:03Z
smart,0,98,smart_L0_s98,3,2119,0,2.00,DEPLOYED,962,904.1,4800,2026-08-17T02:38:13Z
smart,0,97,smart_L0_s97,0,0,0,0.00,STUCK,95,0.0,9600,2026-08-17T02:52:35Z
smart,0,96,smart_L0_s96,1,1058,0,1.00,DEPLOYED,243,225.7,9600,2026-08-17T02:59:55Z
smart,0,1,smart_L0_s1,1,1058,0,1.00,DEPLOYED,243,225.7,9600,2026-08-17T03:04:53Z
smart,0,2,smart_L0_s2,1,1058,0,1.00,DEPLOYED,243,225.7,9600,2026-08-17T03:09:17Z
smart,0,3,smart_L0_s3,1,1058,0,1.00,DEPLOYED,250,225.7,9600,2026-08-17T03:13:48Z
smart,0,4,smart_L0_s4,1,1058,0,1.00,DEPLOYED,243,225.7,9600,2026-08-17T03:18:13Z
smart,0,5,smart_L0_s5,1,1058,0,1.00,DEPLOYED,243,225.7,9600,2026-08-17T03:22:38Z
smart,0.02,1,smart_L0.02_s1,1,1066,8,1.01,DEPLOYED,251,227.4,9600,2026-08-17T03:27:10Z
smart,0.02,2,smart_L0.02_s2,1,1064,6,1.01,DEPLOYED,250,227.0,9600,2026-08-17T03:31:41Z
smart,0.02,3,smart_L0.02_s3,1,1071,13,1.01,DEPLOYED,252,228.5,9600,2026-08-17T03:36:14Z
smart,0.02,4,smart_L0.02_s4,1,1100,42,1.04,DEPLOYED,257,234.7,9600,2026-08-17T03:40:53Z
smart,0.02,5,smart_L0.02_s5,1,1065,7,1.01,DEPLOYED,249,227.2,9600,2026-08-17T03:45:24Z
smart,0.05,1,smart_L0.05_s1,1,1080,22,1.02,DEPLOYED,253,230.4,9600,2026-08-17T03:50:03Z
smart,0.05,2,smart_L0.05_s2,1,1108,50,1.05,DEPLOYED,265,236.4,9600,2026-08-17T03:54:50Z
smart,0.05,3,smart_L0.05_s3,1,1099,41,1.04,DEPLOYED,257,234.5,9600,2026-08-17T03:59:29Z
smart,0.05,4,smart_L0.05_s4,1,1122,64,1.06,DEPLOYED,263,239.4,9600,2026-08-17T04:04:13Z
smart,0.05,5,smart_L0.05_s5,1,1102,44,1.04,DEPLOYED,276,235.1,9600,2026-08-17T04:09:11Z
smart,0.10,1,smart_L0.10_s1,1,1177,119,1.11,DEPLOYED,281,251.1,9600,2026-08-17T04:16:28Z
smart,0.10,2,smart_L0.10_s2,0,0,0,0.00,AGENT_DOWN,85,0.0,9600,2026-08-17T04:18:27Z
smart,0.10,3,smart_L0.10_s3,1,1132,74,1.07,DEPLOYED,271,241.5,9600,2026-08-17T04:26:43Z
smart,0.10,4,smart_L0.10_s4,1,1207,149,1.14,DEPLOYED,293,257.5,9600,2026-08-17T04:32:21Z
smart,0.10,5,smart_L0.10_s5,1,1156,98,1.09,DEPLOYED,282,246.6,9600,2026-08-17T04:37:31Z
smart,0.20,1,smart_L0.20_s1,3,2708,525,2.56,DEPLOYED,755,577.7,9600,2026-08-17T04:50:55Z
smart,0.20,2,smart_L0.20_s2,1,1326,268,1.25,DEPLOYED,332,282.9,9600,2026-08-17T04:56:53Z
smart,0.20,3,smart_L0.20_s3,1,1278,220,1.21,DEPLOYED,318,272.6,9600,2026-08-17T05:02:35Z
smart,0.20,4,smart_L0.20_s4,1,1325,267,1.25,DEPLOYED,324,282.7,9600,2026-08-17T05:08:58Z
smart,0.20,5,smart_L0.20_s5,1,1329,249,1.26,DEPLOYED,338,283.5,9600,2026-08-17T05:14:57Z
smart,0.30,1,smart_L0.30_s1,3,3156,897,2.98,DEPLOYED,859,673.3,9600,2026-08-17T05:30:26Z
smart,0.30,2,smart_L0.30_s2,2,2357,672,2.23,DEPLOYED,640,502.8,9600,2026-08-17T05:41:30Z
smart,0.30,3,smart_L0.30_s3,2,1680,517,1.59,DEPLOYED,507,358.4,9600,2026-08-17T05:50:41Z
smart,0.30,4,smart_L0.30_s4,2,1481,423,1.40,DEPLOYED,370,315.9,9600,2026-08-17T05:57:37Z
smart,0.30,5,smart_L0.30_s5,2,1649,443,1.56,DEPLOYED,521,351.8,9600,2026-08-17T06:06:40Z
naive,0,1,naive_L0_s1,1,1058,0,1.00,DEPLOYED,243,225.7,9600,2026-08-17T06:13:26Z
naive,0,2,naive_L0_s2,1,1058,0,1.00,DEPLOYED,244,225.7,9600,2026-08-17T06:17:57Z
naive,0,3,naive_L0_s3,1,1058,0,1.00,DEPLOYED,243,225.7,9600,2026-08-17T06:22:29Z
naive,0.02,1,naive_L0.02_s1,12,12552,267,11.86,INCOMPLETE,2890,2677.8,9600,2026-08-17T07:11:04Z
naive,0.02,2,naive_L0.02_s2,12,12552,187,11.86,INCOMPLETE,2894,2677.8,9600,2026-08-17T08:00:32Z
naive,0.02,3,naive_L0.02_s3,12,12624,175,11.93,INCOMPLETE,2908,2693.1,9600,2026-08-17T08:49:49Z
naive,0.05,1,naive_L0.05_s1,12,12552,650,11.86,INCOMPLETE,2884,2677.8,9600,2026-08-17T09:38:44Z
naive,0.05,2,naive_L0.05_s2,12,12635,575,11.94,INCOMPLETE,2904,2695.5,9600,2026-08-17T10:27:39Z
naive,0.05,3,naive_L0.05_s3,12,12480,502,11.80,INCOMPLETE,2874,2662.4,9600,2026-08-17T11:18:30Z
naive,0.10,1,naive_L0.10_s1,12,12533,1389,11.85,INCOMPLETE,2874,2673.7,9600,2026-08-17T12:06:53Z
naive,0.10,2,naive_L0.10_s2,0,0,0,0.00,AGENT_DOWN,NA,0.0,9600,2026-08-17T12:08:07Z
naive,0.10,3,naive_L0.10_s3,12,12696,1217,12.00,INCOMPLETE,2914,2708.5,9600,2026-08-17T15:04:03Z
naive,0.20,1,naive_L0.20_s1,12,12624,2595,11.93,INCOMPLETE,2890,2693.1,9600,2026-08-17T15:52:42Z
naive,0.20,2,naive_L0.20_s2,12,12446,2567,11.76,INCOMPLETE,2851,2655.1,9600,2026-08-17T16:40:41Z
naive,0.20,3,naive_L0.20_s3,12,12696,2351,12.00,INCOMPLETE,2910,2708.5,9600,2026-08-17T17:29:54Z
naive,0.30,1,naive_L0.30_s1,12,12624,3752,11.93,INCOMPLETE,2878,2693.1,9600,2026-08-17T18:18:38Z
naive,0.30,2,naive_L0.30_s2,12,12696,3827,12.00,INCOMPLETE,2894,2708.5,9600,2026-08-17T19:07:30Z
naive,0.30,3,naive_L0.30_s3,12,12696,3742,12.00,INCOMPLETE,2906,2708.5,9600,2026-08-17T19:56:41Z
naive,0,1,naive_L0_s1_r4800,12,9900,0,9.36,INCOMPLETE,4390,4224.0,4800,2026-08-17T21:11:57Z
naive,0,2,naive_L0_s2_r4800,12,9900,0,9.36,INCOMPLETE,4390,4224.0,4800,2026-08-17T22:26:01Z
naive,0,3,naive_L0_s3_r4800,12,9900,0,9.36,INCOMPLETE,4391,4224.0,4800,2026-08-17T23:40:25Z
