label,arm,loss,seed,verdict,reason,ext_sha,board_bytes,groundtruth_sha,probes_used,ts_utc
smart_L0_s99,smart,0,99,INVALID,SETUP_STUCK,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-16T21:00:04Z
smart_L0_s98,smart,0,98,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-17T02:38:14Z
smart_L0_s97,smart,0,97,INVALID,SETUP_STUCK,,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,2,2026-08-17T02:52:40Z
smart_L0_s96,smart,0,96,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-17T02:59:55Z
smart_L0_s1,smart,0,1,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-17T03:04:53Z
smart_L0_s2,smart,0,2,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-17T03:09:18Z
smart_L0_s3,smart,0,3,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-17T03:13:49Z
smart_L0_s4,smart,0,4,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-17T03:18:13Z
smart_L0_s5,smart,0,5,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-17T03:22:38Z
smart_L0.02_s1,smart,0.02,1,PASS,,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,1,2026-08-17T03:27:11Z
