# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
2972806190,5424,8,0x00,0,0,0,0
2972806623,5424,8,0x00,0,1,0,0
2972807055,5424,8,0x00,0,2,0,0
2972807487,5424,8,0x00,0,3,0,0
2972807919,5424,8,0x00,0,4,0,0
2972808352,5424,8,0x00,0,5,0,0
2972808784,5424,8,0x00,0,6,0,0
2972809216,5424,8,0x00,0,7,0,0
2972809648,5424,8,0x00,0,8,0,0
2972810080,5424,8,0x00,0,9,0,0
2972810513,5424,8,0x00,0,10,0,0
2972810945,5424,8,0x00,0,11,0,0
2972811377,5424,8,0x00,0,12,0,0
2972811810,5424,8,0x00,0,13,0,0
2972812242,5424,8,0x00,0,14,0,0
2972812675,5424,8,0x00,0,15,0,0
2972813107,5424,8,0x00,0,16,0,0
2972813539,5424,8,0x00,0,17,0,0
2972813972,5424,8,0x00,0,18,0,0
2972814404,5424,8,0x00,0,19,0,0
2972814836,5424,8,0x00,0,20,0,0
2972815268,5424,8,0x00,0,21,0,0
2972815701,5424,8,0x00,0,22,0,0
2972816133,5424,8,0x00,0,23,0,0
2972816565,5424,8,0x00,0,24,0,0
2972816998,5424,8,0x00,0,25,0,0
2972817430,5424,8,0x00,0,26,0,0
2972817862,5424,8,0x00,0,27,0,0
2972818295,5424,8,0x00,0,28,0,1
2972818722,5424,8,0x00,0,29,0,1
2972819149,5424,8,0x00,0,30,0,1
2972819576,5424,8,0x00,0,31,0,1
2972820002,5424,8,0x00,0,32,0,1
2972820429,5424,8,0x00,0,33,0,0
2972820862,5424,8,0x00,0,34,0,0
2972821294,5424,8,0x00,0,35,0,0
2972821726,5424,8,0x00,0,36,0,0
2972822158,5424,8,0x00,0,37,0,0
2972822591,5424,8,0x00,0,38,0,0
2972823023,5424,8,0x00,0,39,0,0
2972823455,5424,8,0x00,0,40,0,0
2972823887,5424,8,0x00,0,41,0,0
2972824319,5424,8,0x00,0,42,0,0
2972824752,5424,8,0x00,0,43,0,0
2972825184,5424,8,0x00,0,44,0,0
2972825616,5424,8,0x00,0,45,0,0
2972826048,5424,8,0x00,0,46,0,0
2972826481,5424,8,0x00,0,47,0,0
2972826913,5424,8,0x00,0,48,0,0
2972827345,5424,8,0x00,0,49,0,0
2972827778,5424,8,0x00,0,50,0,0
2972828210,5424,8,0x00,0,51,0,0
2972828642,5424,8,0x00,0,52,0,0
2972829074,5424,8,0x00,0,53,0,0
2972829507,5424,8,0x00,0,54,0,0
2972829939,5424,8,0x00,0,55,0,0
2972830371,5424,8,0x00,0,56,0,0
2972830804,5424,8,0x00,0,57,0,0
2972831236,5424,8,0x00,0,58,0,0
2972831668,5424,8,0x00,0,59,0,0
2972832101,5424,8,0x00,0,60,0,0
2972832533,5424,8,0x00,0,61,0,1
2972832960,5424,8,0x00,0,62,0,1
2972833387,5424,8,0x00,0,63,0,1
2972833814,5424,8,0x00,0,64,0,0
2972834246,5424,8,0x00,0,65,0,1
2972834673,5424,8,0x00,0,66,0,1
2972835100,5424,8,0x00,0,67,0,1
2972835527,5424,8,0x00,0,68,0,1
2972835953,5424,8,0x00,0,69,0,1
2972836380,5424,8,0x00,0,70,0,1
2972836807,5424,8,0x00,0,71,0,0
2972837239,5424,8,0x00,0,72,0,1
2972837666,5424,8,0x00,0,73,0,0
2972838099,5424,8,0x00,0,74,0,0
