loss,seed,injected,dropped,client_verdict,bytes,sha,size,transport,rate_bps,payload_sha256,ts
0,1,1041,0,REPORTED_OK,262144,MATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:19:01Z
0,2,1041,0,REPORTED_OK,262144,MATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:26:56Z
0,3,1041,0,REPORTED_OK,262144,MATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:34:50Z
0,4,1041,0,REPORTED_OK,262144,MATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:42:45Z
0,5,1041,0,REPORTED_OK,262144,MATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:50:40Z
0.02,1,1041,36,REPORTED_OK,253072,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:59:50Z
0.02,2,1041,23,REPORTED_OK,256348,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T08:08:59Z
0.02,3,1041,28,REPORTED_OK,255088,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T08:18:09Z
0.02,4,1041,29,REPORTED_OK,254836,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T08:27:19Z
0.02,5,1041,19,REPORTED_OK,257356,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T08:36:29Z
0.05,1,1041,62,REPORTED_OK,246520,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T08:45:39Z
0.05,2,1041,46,REPORTED_OK,250552,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T08:54:49Z
0.05,3,1041,80,REPORTED_OK,241984,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:03:59Z
0.05,4,1041,69,REPORTED_OK,244756,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:13:13Z
0.05,5,1041,77,REPORTED_OK,242740,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:22:23Z
0.10,1,1041,104,REPORTED_OK,235936,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:31:33Z
0.10,2,1041,99,REPORTED_OK,237196,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:40:43Z
0.10,3,1041,159,REPORTED_OK,222076,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:49:58Z
0.10,4,1041,132,REPORTED_OK,228880,MISMATCH,262144,zmq,4800,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:59:07Z
