# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
883293303,5424,8,0x00,0,16,0,0
883293319,5424,8,0x00,0,17,0,0
883293404,5424,8,0x00,0,44,0,0
883293420,5424,8,0x00,0,45,0,0
883293436,5424,8,0x00,0,46,0,0
883293451,5424,8,0x00,0,47,0,0
883293467,5424,8,0x00,0,48,0,0
883293506,5424,8,0x00,0,155,0,0
883293521,5424,8,0x00,0,156,0,0
883293537,5424,8,0x00,0,157,0,0
883293553,5424,8,0x00,0,158,0,0
883293569,5424,8,0x00,0,159,0,0
883293585,5424,8,0x00,0,160,0,0
883293601,5424,8,0x00,0,161,0,0
883293616,5424,8,0x00,0,184,0,0
883293632,5424,8,0x00,0,185,0,0
883293648,5424,8,0x00,0,186,0,0
883293664,5424,8,0x00,0,187,0,0
883293680,5424,8,0x00,0,188,0,0
883293710,5424,8,0x00,0,271,0,0
883293726,5424,8,0x00,0,272,0,0
883293811,5424,8,0x00,0,278,0,0
883293827,5424,8,0x00,0,279,0,0
883293843,5424,8,0x00,0,280,0,0
883293859,5424,8,0x00,0,281,0,0
883293875,5424,8,0x00,0,282,0,0
883293914,5424,8,0x00,0,293,0,0
883293929,5424,8,0x00,0,294,0,0
883293945,5424,8,0x00,0,295,0,0
883293961,5424,8,0x00,0,296,0,0
883293977,5424,8,0x00,0,297,0,0
883293993,5424,8,0x00,0,298,0,0
883294008,5424,8,0x00,0,299,0,0
883294024,5424,8,0x00,0,300,0,0
883294040,5424,8,0x00,0,301,0,0
883294056,5424,8,0x00,0,302,0,0
883294072,5424,8,0x00,0,303,0,0
883294088,5424,8,0x00,0,304,0,0
883294103,5424,8,0x00,0,305,0,0
883294119,5424,8,0x00,0,306,0,0
883294135,5424,8,0x00,0,307,0,0
883294151,5424,8,0x00,0,308,0,0
883294167,5424,8,0x00,0,312,0,0
883294182,5424,8,0x00,0,313,0,1
883294193,5424,8,0x00,0,314,0,0
883294209,5424,8,0x00,0,347,0,0
883294225,5424,8,0x00,0,348,0,0
883294240,5424,8,0x00,0,349,0,0
883294256,5424,8,0x00,0,350,0,0
883294272,5424,8,0x00,0,351,0,0
883294288,5424,8,0x00,0,352,0,0
883294304,5424,8,0x00,0,353,0,0
883294319,5424,8,0x00,0,367,0,0
883294335,5424,8,0x00,0,368,0,0
883294351,5424,8,0x00,0,369,0,0
883294367,5424,8,0x00,0,422,0,0
883294383,5424,8,0x00,0,423,0,0
883294399,5424,8,0x00,0,424,0,0
883294426,5424,8,0x00,0,543,0,0
883294441,5424,8,0x00,0,544,0,0
883294457,5424,8,0x00,0,545,0,0
883294472,5424,8,0x00,0,546,0,0
883294527,5424,8,0x00,0,562,0,0
883294543,5424,8,0x00,0,563,0,0
883294559,5424,8,0x00,0,564,0,0
883294575,5424,8,0x00,0,565,0,0
883294590,5424,8,0x00,0,566,0,0
883294606,5424,8,0x00,0,567,0,0
883294622,5424,8,0x00,0,568,0,0
