# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
3302928492,5424,8,0x00,0,16,0,0
3302928711,5424,8,0x00,0,17,0,0
3302928930,5424,8,0x00,0,44,0,0
3302929149,5424,8,0x00,0,45,0,0
3302929367,5424,8,0x00,0,46,0,0
3302929586,5424,8,0x00,0,47,0,0
3302929805,5424,8,0x00,0,48,0,0
3302930024,5424,8,0x00,0,155,0,0
3302930243,5424,8,0x00,0,156,0,0
3302930462,5424,8,0x00,0,157,0,0
3302930681,5424,8,0x00,0,158,0,0
3302930899,5424,8,0x00,0,159,0,0
3302931118,5424,8,0x00,0,160,0,0
3302931337,5424,8,0x00,0,161,0,0
3302931556,5424,8,0x00,0,184,0,0
3302931775,5424,8,0x00,0,185,0,0
3302931994,5424,8,0x00,0,186,0,0
3302932213,5424,8,0x00,0,187,0,0
3302932432,5424,8,0x00,0,188,0,0
3302932651,5424,8,0x00,0,271,0,0
3302932870,5424,8,0x00,0,272,0,0
3302933089,5424,8,0x00,0,278,0,0
3302933308,5424,8,0x00,0,279,0,0
3302933527,5424,8,0x00,0,280,0,0
3302933746,5424,8,0x00,0,281,0,0
3302933965,5424,8,0x00,0,282,0,0
3302934184,5424,8,0x00,0,293,0,0
3302934403,5424,8,0x00,0,294,0,0
3302934622,5424,8,0x00,0,295,0,0
3302934841,5424,8,0x00,0,296,0,0
3302935060,5424,8,0x00,0,297,0,0
3302935279,5424,8,0x00,0,298,0,0
3302935498,5424,8,0x00,0,299,0,0
3302935717,5424,8,0x00,0,300,0,0
3302935936,5424,8,0x00,0,301,0,0
3302936155,5424,8,0x00,0,302,0,0
3302936374,5424,8,0x00,0,303,0,0
3302936593,5424,8,0x00,0,304,0,0
3302936812,5424,8,0x00,0,305,0,0
3302937030,5424,8,0x00,0,306,0,0
3302937249,5424,8,0x00,0,307,0,0
3302937468,5424,8,0x00,0,308,0,0
3302937687,5424,8,0x00,0,312,0,0
3302937906,5424,8,0x00,0,313,0,0
3302938125,5424,8,0x00,0,314,0,0
3302938344,5424,8,0x00,0,347,0,0
3302938563,5424,8,0x00,0,348,0,0
3302938782,5424,8,0x00,0,349,0,0
3302939001,5424,8,0x00,0,350,0,0
3302939220,5424,8,0x00,0,351,0,0
3302939439,5424,8,0x00,0,352,0,0
3302939658,5424,8,0x00,0,353,0,0
3302939877,5424,8,0x00,0,367,0,0
3302940096,5424,8,0x00,0,368,0,0
3302940315,5424,8,0x00,0,369,0,0
3302940534,5424,8,0x00,0,422,0,0
3302940753,5424,8,0x00,0,423,0,0
3302940972,5424,8,0x00,0,424,0,0
3302941191,5424,8,0x00,0,543,0,0
3302941410,5424,8,0x00,0,544,0,0
3302941629,5424,8,0x00,0,545,0,0
3302941848,5424,8,0x00,0,546,0,0
3302942067,5424,8,0x00,0,562,0,0
3302942285,5424,8,0x00,0,563,0,0
3302942504,5424,8,0x00,0,564,0,0
3302942723,5424,8,0x00,0,565,0,0
3302942942,5424,8,0x00,0,566,0,0
3302943161,5424,8,0x00,0,567,0,0
3302943380,5424,8,0x00,0,568,0,0
3302943599,5424,8,0x00,0,569,0,0
3302943818,5424,8,0x00,0,570,0,0
3302944037,5424,8,0x00,0,571,0,0
3302944256,5424,8,0x00,0,572,0,0
3302944475,5424,8,0x00,0,573,0,0
3302944694,5424,8,0x00,0,574,0,0
3302944913,5424,8,0x00,0,575,0,0
3302945132,5424,8,0x00,0,576,0,0
3302945351,5424,8,0x00,0,577,0,0
3302945570,5424,8,0x00,0,620,0,0
3302945789,5424,8,0x00,0,621,0,0
3302946008,5424,8,0x00,0,622,0,0
3302946227,5424,8,0x00,0,623,0,0
3302946446,5424,8,0x00,0,624,0,0
3302946665,5424,8,0x00,0,659,0,0
3302946884,5424,8,0x00,0,660,0,0
3302947103,5424,8,0x00,0,700,0,0
3302947322,5424,8,0x00,0,701,0,0
3302947541,5424,8,0x00,0,710,0,0
3302947760,5424,8,0x00,0,711,0,0
3302947979,5424,8,0x00,0,712,0,0
3302948198,5424,8,0x00,0,767,0,0
3302948417,5424,8,0x00,0,768,0,0
3302948636,5424,8,0x00,0,786,0,0
3302948855,5424,8,0x00,0,787,0,0
3302949074,5424,8,0x00,0,788,0,0
3302949293,5424,8,0x00,0,0,0,0
3302949512,5424,8,0x00,0,1,0,0
3302949944,5424,8,0x00,0,2,0,0
3302950163,5424,8,0x00,0,3,0,0
3302950382,5424,8,0x00,0,4,0,0
3302950601,5424,8,0x00,0,5,0,0
3302950820,5424,8,0x00,0,6,0,0
3302951039,5424,8,0x00,0,7,0,0
3302951258,5424,8,0x00,0,8,0,0
3302951477,5424,8,0x00,0,9,0,0
3302951696,5424,8,0x00,0,10,0,0
3302951915,5424,8,0x00,0,11,0,0
3302952134,5424,8,0x00,0,12,0,0
3302952352,5424,8,0x00,0,13,0,0
3302952572,5424,8,0x00,0,14,0,0
