# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
2938149473,26,14,0x03,1,61389,0,0
2938149474,26,14,0x03,1,61390,0,0
2938149474,26,14,0x03,1,61390,0,0
2938149474,26,14,0x03,1,61391,0,0
2938149474,26,14,0x03,1,61392,0,0
2938149475,26,14,0x03,1,61393,0,0
2938149475,26,14,0x03,1,61394,0,0
2938149475,26,14,0x03,1,61395,0,0
2938149475,26,14,0x03,1,61396,0,0
2938149475,26,14,0x03,1,61397,0,0
2938149475,26,14,0x03,1,61398,0,0
2938149476,26,14,0x03,1,61399,0,0
2938149476,26,14,0x03,1,61400,0,0
2938149476,26,14,0x03,1,61401,0,0
2938149476,26,14,0x03,1,61402,0,0
2938149476,26,14,0x03,1,61403,0,0
2938149477,26,14,0x03,1,61404,0,0
2938149477,26,14,0x03,1,61405,0,0
2938149477,26,14,0x03,1,61406,0,0
2938149477,26,14,0x03,1,61407,0,0
2938149478,26,14,0x03,1,61408,0,0
2938149478,26,14,0x03,1,61409,0,0
2938149478,26,14,0x03,1,61410,0,0
2938149478,26,14,0x03,1,61411,0,0
2938149478,26,14,0x03,1,61412,0,0
2938149478,26,14,0x03,1,61413,0,0
2938149479,26,14,0x03,1,61414,0,0
2938149479,26,14,0x03,1,61415,0,0
2938149479,26,14,0x03,1,61416,0,0
2938149479,26,14,0x03,1,61417,0,0
2938149479,26,14,0x03,1,61418,0,0
2938149479,26,14,0x03,1,61419,0,0
2938149480,26,14,0x03,1,61420,0,0
2938149480,26,14,0x03,1,61421,0,0
2938149480,26,14,0x03,1,61422,0,0
2938149480,26,14,0x03,1,61423,0,0
2938149480,26,14,0x03,1,61424,0,0
2938149480,26,14,0x03,1,61425,0,0
2938149481,26,14,0x03,1,61426,0,0
2938149481,26,14,0x03,1,61427,0,0
2938149481,26,14,0x03,1,61428,0,0
2938149481,26,14,0x03,1,61429,0,0
2938149481,26,14,0x03,1,61430,0,0
2938149481,26,14,0x03,1,61431,0,0
2938149482,26,14,0x03,1,61432,0,0
2938149482,26,14,0x03,1,61433,0,0
2938149482,26,14,0x03,1,61434,0,0
2938149482,26,14,0x03,1,61435,0,0
2938149482,26,14,0x03,1,61436,0,0
2938149482,26,14,0x03,1,61437,0,0
2938149483,26,14,0x03,1,61438,0,0
2938149483,26,14,0x03,1,61439,0,0
2938149483,26,14,0x03,1,61440,0,0
2938149483,26,14,0x03,1,61441,0,0
2938149483,26,14,0x03,1,61442,0,0
2938149483,26,14,0x03,1,61443,0,0
2938149483,26,14,0x03,1,61444,0,0
2938149484,26,14,0x03,1,61445,0,0
2938149484,26,14,0x03,1,61446,0,0
2938149484,26,14,0x03,1,61447,0,0
2938149484,26,14,0x03,1,61448,0,0
2938149484,26,14,0x03,1,61449,0,0
2938149485,26,14,0x03,1,61450,0,0
2938149485,26,14,0x03,1,61451,0,1
2938149485,26,14,0x03,1,61452,0,1
2938149786,26,14,0x03,1,61453,0,0
2938149787,26,14,0x03,1,61453,0,0
2938150088,26,14,0x03,1,61454,0,0
2938150391,26,14,0x03,1,61454,0,0
2938150492,26,14,0x03,1,61451,0,0
2938150492,26,14,0x03,1,61452,0,0
2938150496,26,14,0x03,1,61454,0,0
2938150496,26,14,0x03,1,61455,0,0
2938150496,26,14,0x03,1,61456,0,0
2938150499,26,14,0x03,1,61457,0,0
2938150499,26,14,0x03,1,61458,0,0
2938150499,26,14,0x03,1,61459,0,0
2938150502,26,14,0x03,1,61460,0,0
2938150502,26,14,0x03,1,61461,0,0
2938150502,26,14,0x03,1,61462,0,0
2938150505,26,14,0x03,1,61463,0,0
2938150505,26,14,0x03,1,61464,0,0
2938150505,26,14,0x03,1,61465,0,0
2938150507,26,14,0x03,1,61466,0,0
2938150507,26,14,0x03,1,61467,0,0
2938150507,26,14,0x03,1,61468,0,0
2938150510,26,14,0x03,1,61469,0,0
2938150510,26,14,0x03,1,61470,0,0
2938150510,26,14,0x03,1,61471,0,0
2938150513,26,14,0x03,1,61472,0,0
2938150513,26,14,0x03,1,61473,0,0
2938150513,26,14,0x03,1,61474,0,0
2938150515,26,14,0x03,1,61475,0,0
2938150515,26,14,0x03,1,61476,0,0
