arm,loss,seed,passes,injected,dropped,overhead,result,sha,transport,harness,payload_sha256,ts
smart,0,1,1,260,0,1.00,DEPLOYED,MATCH,zmq,clean;dup_in=15,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:25:37Z
smart,0,2,1,261,0,1.01,DEPLOYED,MATCH,zmq,clean;dup_in=16,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:26:17Z
smart,0,3,1,261,0,1.01,DEPLOYED,MATCH,zmq,clean;dup_in=16,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:26:58Z
smart,0.02,1,1,274,15,1.06,DEPLOYED,MATCH,zmq,clean;dup_in=10,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:27:35Z
smart,0.02,2,1,268,9,1.03,DEPLOYED,MATCH,zmq,clean;dup_in=10,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:28:13Z
smart,0.02,3,1,261,1,1.01,DEPLOYED,MATCH,zmq,clean;dup_in=15,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:28:51Z
smart,0.05,1,1,275,16,1.06,DEPLOYED,MATCH,zmq,clean;dup_in=10,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:29:29Z
smart,0.05,2,1,274,15,1.06,DEPLOYED,MATCH,zmq,clean;dup_in=10,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:30:07Z
smart,0.05,3,1,274,15,1.06,DEPLOYED,MATCH,zmq,clean;dup_in=10,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:30:45Z
smart,0.10,1,1,287,28,1.11,DEPLOYED,MATCH,zmq,clean;dup_in=10,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:31:23Z
smart,0.10,2,1,275,16,1.06,DEPLOYED,MATCH,zmq,clean;dup_in=14,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:32:01Z
smart,0.10,3,1,297,38,1.15,DEPLOYED,MATCH,zmq,clean;dup_in=33,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:32:43Z
smart,0.20,1,1,308,49,1.19,DEPLOYED,MATCH,zmq,clean;dup_in=26,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:33:26Z
smart,0.20,2,1,300,41,1.16,DEPLOYED,MATCH,zmq,clean;dup_in=31,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:34:06Z
smart,0.20,3,1,333,74,1.29,DEPLOYED,MATCH,zmq,clean;dup_in=34,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:34:47Z
smart,0.30,1,1,326,67,1.26,DEPLOYED,MATCH,zmq,clean;dup_in=22,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:35:25Z
smart,0.30,2,1,359,100,1.39,DEPLOYED,MATCH,zmq,clean;dup_in=36,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:36:04Z
smart,0.30,3,1,389,130,1.50,DEPLOYED,MATCH,zmq,clean;dup_in=38,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T17:36:42Z
