run,seed,claim,region,first_bad_byte,ts
r1,1,CLAIMED_SUCCESS,WRONG,262081,2026-08-11T18:22:52Z
r1,3,CLAIMED_SUCCESS,INTACT,NA,2026-08-11T18:25:48Z
r1,4,CLAIMED_SUCCESS,WRONG,262081,2026-08-11T18:32:24Z
r1,5,CLAIMED_SUCCESS,INTACT,NA,2026-08-11T18:34:58Z
r2,1,CLAIMED_SUCCESS,INTACT,NA,2026-08-11T19:30:54Z
r2,3,CLAIMED_SUCCESS,INTACT,NA,2026-08-11T19:33:49Z
r2,6,CLAIMED_SUCCESS,INVALID,NA,2026-08-11T19:36:59Z
r2,7,CLAIMED_SUCCESS,INVALID,NA,2026-08-11T19:39:54Z
r2,8,CLAIMED_SUCCESS,INVALID,NA,2026-08-11T19:42:46Z
rerun1,1,CLAIMED_SUCCESS,INTACT,NA,2026-08-12T09:30:09Z
rerun1,2,CLAIMED_SUCCESS,INTACT,NA,2026-08-12T09:33:07Z
rerun1,3,CLAIMED_SUCCESS,INTACT,NA,2026-08-12T09:36:17Z
rerun1,4,CLAIMED_SUCCESS,WRONG,261889,2026-08-12T09:40:43Z
rerun1,5,CLAIMED_SUCCESS,INTACT,NA,2026-08-12T09:45:25Z
rerun1,6,CLAIMED_SUCCESS,WRONG,261697,2026-08-12T09:52:10Z
rerun1,7,CLAIMED_SUCCESS,INTACT,NA,2026-08-12T09:55:20Z
rerun1,8,CLAIMED_SUCCESS,INTACT,NA,2026-08-12T09:58:19Z
hand1,4,CLAIMED_SUCCESS,WRONG,262081,2026-08-12T11:32:48Z
try20260812T1217,4,CLAIMED_SUCCESS,WRONG,262081,2026-08-12T12:24:10Z
