mode,loss,seed,burst,claimed,crc,sha,loss_drops,verdict,ts
stock,0,1,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-07T10:35:47Z
stock,0.10,1,0,FAILED,MISMATCH,MISMATCH,7,LOUD_ABORT,2026-08-07T10:37:36Z
stock,0,2,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-07T10:39:33Z
stock,0,3,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-07T10:40:40Z
stock,0.10,2,0,FAILED,MISMATCH,MISMATCH,7,LOUD_ABORT,2026-08-07T10:42:49Z
stock,0.10,3,0,FAILED,MISMATCH,MISMATCH,9,LOUD_ABORT,2026-08-07T10:44:29Z
stock,0.20,1,0,FAILED,MISMATCH,MISMATCH,13,LOUD_ABORT,2026-08-07T10:46:01Z
stock,0.20,2,0,FAILED,MISMATCH,MISMATCH,9,LOUD_ABORT,2026-08-07T10:47:41Z
stock,0.20,3,0,FAILED,MISMATCH,MISMATCH,15,LOUD_ABORT,2026-08-07T10:49:26Z
stock,0.30,1,0,FAILED,MISMATCH,MISMATCH,24,LOUD_ABORT,2026-08-07T10:51:24Z
stock,0.30,2,0,FAILED,MISMATCH,MISMATCH,17,LOUD_ABORT,2026-08-07T10:53:15Z
stock,0.30,3,0,FAILED,MISMATCH,MISMATCH,37,LOUD_ABORT,2026-08-07T10:55:42Z
tuned,0,1,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-07T10:56:43Z
tuned,0,2,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-07T10:57:43Z
tuned,0,3,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-07T10:58:43Z
tuned,0.10,1,0,FAILED,MISMATCH,MISMATCH,79,LOUD_ABORT,2026-08-07T11:01:38Z
tuned,0.10,2,0,FAILED,MISMATCH,MISMATCH,81,LOUD_ABORT,2026-08-07T11:04:33Z
tuned,0.10,3,0,FAILED,MISMATCH,MISMATCH,105,LOUD_ABORT,2026-08-07T11:09:13Z
tuned,0.20,1,0,FAILED,MISMATCH,MISMATCH,167,LOUD_ABORT,2026-08-07T11:12:08Z
tuned,0.20,2,0,FAILED,MISMATCH,MISMATCH,161,LOUD_ABORT,2026-08-07T11:15:04Z
tuned,0.20,3,0,FAILED,MISMATCH,MISMATCH,184,LOUD_ABORT,2026-08-07T11:18:01Z
tuned,0.30,1,0,FAILED,MISMATCH,MISMATCH,256,LOUD_ABORT,2026-08-07T11:20:57Z
tuned,0.30,2,0,FAILED,MISMATCH,MISMATCH,247,LOUD_ABORT,2026-08-07T11:23:58Z
tuned,0.30,3,0,FAILED,MISMATCH,MISMATCH,234,LOUD_ABORT,2026-08-07T11:28:45Z
stock,0.10,1,7.8,FAILED,MISMATCH,MISMATCH,11,LOUD_ABORT,2026-08-07T11:30:08Z
stock,0.10,2,7.8,FAILED,MISMATCH,MISMATCH,13,LOUD_ABORT,2026-08-07T11:31:47Z
stock,0.10,3,7.8,FAILED,MISMATCH,MISMATCH,20,LOUD_ABORT,2026-08-07T11:33:14Z
stock,0.20,1,7.8,FAILED,MISMATCH,MISMATCH,11,LOUD_ABORT,2026-08-07T11:34:19Z
stock,0.20,2,7.8,FAILED,MISMATCH,MISMATCH,12,LOUD_ABORT,2026-08-07T11:35:50Z
stock,0.20,3,7.8,FAILED,MISMATCH,MISMATCH,20,LOUD_ABORT,2026-08-07T11:37:18Z
stock,0.30,1,7.8,FAILED,MISMATCH,MISMATCH,19,LOUD_ABORT,2026-08-07T11:38:35Z
stock,0.30,2,7.8,FAILED,MISMATCH,MISMATCH,12,LOUD_ABORT,2026-08-07T11:40:06Z
stock,0.30,3,7.8,FAILED,MISMATCH,MISMATCH,21,LOUD_ABORT,2026-08-07T11:41:33Z
