mode,loss,seed,burst,claimed,crc,sha,loss_drops,verdict,ts,rate_bps,artifact,artifact_bytes,elapsed_s,theoretical_s,control_s,airtime_ratio,ratio_basis,fits_contact
stock,0.30,1,0,DELIVERED,SUCCESS,MATCH,197,OK,2026-08-26T10:55:50Z,4800,payload_libjpegxl.bin,67256,594.750,112.1,124.275,4.79,measured,no
stock,0,1,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-26T10:59:47Z,4800,payload_libjpegxl.bin,67256,124.275,112.1,124.275,1.00,measured,yes
stock,0,2,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-26T11:02:21Z,4800,payload_libjpegxl.bin,67256,124.284,112.1,124.284,1.00,measured,yes
stock,0,3,0,DELIVERED,SUCCESS,MATCH,0,OK,2026-08-26T11:04:56Z,4800,payload_libjpegxl.bin,67256,124.275,112.1,124.275,1.00,measured,yes
stock,0.10,1,0,DELIVERED,SUCCESS,MATCH,35,OK,2026-08-26T11:09:20Z,4800,payload_libjpegxl.bin,67256,229.720,112.1,124.275,1.85,measured,yes
stock,0.10,2,0,DELIVERED,SUCCESS,MATCH,41,OK,2026-08-26T11:14:31Z,4800,payload_libjpegxl.bin,67256,274.896,112.1,124.284,2.21,measured,yes
stock,0.10,3,0,DELIVERED,SUCCESS,MATCH,54,OK,2026-08-26T11:19:58Z,4800,payload_libjpegxl.bin,67256,297.065,112.1,124.275,2.39,measured,yes
stock,0.30,2,0,DELIVERED,SUCCESS,MATCH,186,OK,2026-08-26T11:30:08Z,4800,payload_libjpegxl.bin,67256,580.375,112.1,124.284,4.67,measured,no
stock,0.30,3,0,DELIVERED,SUCCESS,MATCH,204,OK,2026-08-26T11:40:37Z,4800,payload_libjpegxl.bin,67256,598.681,112.1,124.275,4.82,measured,no
tuned,0.30,1,0,DELIVERED,SUCCESS,MATCH,527,OK,2026-08-26T11:47:13Z,4800,payload_libjpegxl.bin,67256,365.645,112.1,,2.94,measured_stock_control,yes
