loss,seed,injected,dropped,claimed,sha,size,transport,payload_sha256,ts
0,1,1370,0,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:09:17Z
0,2,1370,0,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:09:33Z
0,3,1370,0,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:09:49Z
0.02,1,1458,57,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:10:21Z
0.02,2,1435,35,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:10:49Z
0.02,3,1430,35,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:11:17Z
0.05,1,1510,89,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:11:58Z
0.05,2,1486,58,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:12:34Z
0.05,3,1554,100,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:13:22Z
0.10,1,1645,179,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:14:26Z
0.10,2,1594,139,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:15:22Z
0.10,3,1758,235,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:16:45Z
0.20,1,2070,460,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:19:01Z
0.20,2,2118,476,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:21:39Z
0.20,3,2166,459,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:24:11Z
0.30,1,2459,735,DELIVERED,MISMATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:27:49Z
0.30,2,2766,940,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:32:07Z
0.30,3,2730,872,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T07:36:17Z
0,4,1370,0,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:04:17Z
0,5,1370,0,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:04:33Z
0,6,1370,0,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:04:51Z
0,7,1370,0,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:05:07Z
0,8,1370,0,DELIVERED,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-30T09:05:24Z
