loss,seed,injected,dropped,claimed,sha,size,transport,harness,payload_sha256,ts
0,1,1374,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=468,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:31:12Z
0,2,1370,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=457,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:31:29Z
0,3,1370,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=457,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:31:46Z
0.02,1,1458,57,DELIVERED,MATCH,262144,zmq,clean;dup_in=500,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:32:17Z
0.02,2,1435,35,DELIVERED,MATCH,262144,zmq,clean;dup_in=489,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:32:46Z
0.02,3,1430,35,DELIVERED,MATCH,262144,zmq,clean;dup_in=486,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:33:13Z
0.05,1,1510,89,DELIVERED,MATCH,262144,zmq,clean;dup_in=520,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:33:54Z
0.05,2,1486,58,DELIVERED,MATCH,262144,zmq,clean;dup_in=508,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:34:30Z
0.05,3,1554,100,DELIVERED,MATCH,262144,zmq,clean;dup_in=536,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:35:19Z
0.10,1,1645,179,DELIVERED,MATCH,262144,zmq,clean;dup_in=581,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:36:22Z
0.10,2,1594,139,DELIVERED,MATCH,262144,zmq,clean;dup_in=556,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:37:18Z
0.10,3,1758,235,DELIVERED,MATCH,262144,zmq,clean;dup_in=631,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:38:41Z
0.20,1,2071,460,DELIVERED,MATCH,262144,zmq,clean;dup_in=782,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:40:56Z
0.20,2,2120,477,DELIVERED,MISMATCH,262144,zmq,clean;dup_in=786,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:43:33Z
0.20,3,2178,464,DELIVERED,MISMATCH,262144,zmq,clean;dup_in=817,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:46:19Z
0.30,1,2459,735,DELIVERED,MISMATCH,262144,zmq,clean;dup_in=968,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:49:58Z
0.30,2,2769,941,DELIVERED,MISMATCH,262144,zmq,clean;dup_in=1113,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:54:29Z
0.30,3,2702,858,DELIVERED,MATCH,262144,zmq,clean;dup_in=1081,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T06:58:46Z
