loss,seed,injected,dropped,claimed,sha,size,transport,harness,payload_sha256,ts
0,1,1370,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=456,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:35:32Z
0,2,1370,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=456,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:35:49Z
0,3,1370,0,DELIVERED,MATCH,262144,zmq,clean;dup_in=456,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:36:05Z
0.02,1,1458,57,DELIVERED,MATCH,262144,zmq,clean;dup_in=498,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:36:37Z
0.02,2,1435,35,DELIVERED,MATCH,262144,zmq,clean;dup_in=488,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:37:06Z
0.02,3,1431,35,DELIVERED,MATCH,262144,zmq,clean;dup_in=485,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:37:34Z
0.05,1,1510,89,DELIVERED,MATCH,262144,zmq,clean;dup_in=521,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:38:15Z
0.05,2,1486,58,DELIVERED,MATCH,262144,zmq,clean;dup_in=508,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:38:52Z
0.05,3,1554,100,DELIVERED,MATCH,262144,zmq,clean;dup_in=538,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:39:41Z
0.10,1,1645,179,DELIVERED,MATCH,262144,zmq,clean;dup_in=584,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:40:45Z
0.10,2,1615,149,DELIVERED,MISMATCH,262144,zmq,clean;dup_in=568,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-31T08:41:58Z
