loss,seed,injected,dropped,claimed,rounds,rev_frames,sha,size,transport,harness,payload_sha256,ts,mtu,hd_rate,secs
0,1,1366,0,VERIFIED,1,1,MATCH,262144,zmq,clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:04:16Z,200,4800,489.8
0,2,1366,0,VERIFIED,1,1,MATCH,262144,zmq,clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:12:39Z,200,4800,489.8
0.10,1,409,41,INCOMPLETE,?,1,MISMATCH,0,zmq,frag_mismatch(obs=409/exp=1366);clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:15:27Z,200,4800,156.0
0.10,2,820,79,INCOMPLETE,?,1,MISMATCH,0,zmq,frag_mismatch(obs=820/exp=1366);clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:20:39Z,200,4800,298.6
0.30,1,409,96,INCOMPLETE,?,1,MISMATCH,0,zmq,frag_mismatch(obs=409/exp=1366);clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:23:27Z,200,4800,156.0
0.30,2,428,136,INCOMPLETE,?,1,MISMATCH,0,zmq,frag_mismatch(obs=428/exp=1366);clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:26:23Z,200,4800,162.6
0,1,1058,0,VERIFIED,1,1,MATCH,262144,zmq,clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:37:50Z,256,4800,489.6
0,2,1058,0,VERIFIED,2,2,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:46:36Z,256,4800,513.0
0.10,1,1180,122,VERIFIED,4,4,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T11:57:01Z,256,4800,612.8
0.10,2,1163,105,VERIFIED,3,3,MATCH,262144,zmq,clean;dup_in=2,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T12:06:56Z,256,4800,582.8
0.30,1,1476,418,VERIFIED,6,6,MATCH,262144,zmq,clean;dup_in=1,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T12:20:13Z,256,4800,784.4
0.30,2,1613,555,VERIFIED,12,12,MATCH,262144,zmq,clean;dup_in=4,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-08-13T12:36:52Z,256,4800,985.8
