arm,loss,seed,label,passes,total_injected,total_dropped,overhead_ratio,result,status,rate_bps
smart,0,1,smart_L0_s1,1,259,0,0.24,DEPLOYED,ok,4800
smart,0,2,smart_L0_s2,1,259,0,0.24,DEPLOYED,ok,9600
smart,0,3,smart_L0_s3,1,259,0,0.24,DEPLOYED,ok,9600
smart,0.02,1,smart_L0.02_s1,1,259,0,0.24,DEPLOYED,ok,9600
smart,0.02,2,smart_L0.02_s2,1,259,0,0.24,DEPLOYED,ok,9600
smart,0.02,3,smart_L0.02_s3,1,269,10,0.25,DEPLOYED,ok,9600
smart,0.05,1,smart_L0.05_s1,1,259,0,0.24,DEPLOYED,ok,9600
smart,0.05,2,smart_L0.05_s2,1,261,2,0.25,DEPLOYED,ok,9600
smart,0.05,3,smart_L0.05_s3,1,273,14,0.26,DEPLOYED,ok,9600
smart,0.10,1,smart_L0.10_s1,1,301,42,0.28,DEPLOYED,ok,9600
smart,0.10,2,smart_L0.10_s2,1,262,3,0.25,DEPLOYED,ok,9600
smart,0.10,3,smart_L0.10_s3,1,279,20,0.26,DEPLOYED,ok,9600
smart,0.20,1,smart_L0.20_s1,1,333,74,0.31,DEPLOYED,ok,9600
smart,0.20,2,smart_L0.20_s2,1,362,103,0.34,DEPLOYED,ok,9600
smart,0.20,3,smart_L0.20_s3,1,298,39,0.28,DEPLOYED,ok,9600
smart,0.30,1,smart_L0.30_s1,1,367,108,0.35,DEPLOYED,ok,9600
smart,0.30,2,smart_L0.30_s2,1,388,129,0.37,DEPLOYED,ok,9600
smart,0.30,3,smart_L0.30_s3,NA,NA,NA,NA,AGENT_FAILURE,ok,9600
naive,0,1,naive_L0_s1,1,259,0,0.24,DEPLOYED,ok,9600
naive,0,2,naive_L0_s2,1,259,0,0.24,DEPLOYED,ok,9600
naive,0,3,naive_L0_s3,1,259,0,0.24,DEPLOYED,ok,9600
naive,0.02,1,naive_L0.02_s1,1,259,0,0.24,DEPLOYED,ok,9600
naive,0.02,2,naive_L0.02_s2,1,259,0,0.24,DEPLOYED,ok,9600
naive,0.02,3,naive_L0.02_s3,2,518,10,0.49,DEPLOYED,ok,9600
naive,0.05,1,naive_L0.05_s1,1,259,0,0.24,DEPLOYED,ok,9600
naive,0.05,2,naive_L0.05_s2,12,3108,142,2.94,INCOMPLETE,ok,9600
naive,0.05,3,naive_L0.05_s3,12,3108,175,2.94,INCOMPLETE,ok,9600
naive,0.10,1,naive_L0.10_s1,12,3108,382,2.94,INCOMPLETE,ok,9600
naive,0.10,2,naive_L0.10_s2,12,3108,314,2.94,INCOMPLETE,ok,9600
naive,0.10,3,naive_L0.10_s3,12,3108,371,2.94,INCOMPLETE,ok,9600
naive,0.20,1,naive_L0.20_s1,12,3108,711,2.94,INCOMPLETE,ok,9600
naive,0.20,2,naive_L0.20_s2,12,3108,649,2.94,INCOMPLETE,ok,9600
naive,0.20,3,naive_L0.20_s3,12,3108,555,2.94,INCOMPLETE,ok,9600
naive,0.30,1,naive_L0.30_s1,12,3108,935,2.94,INCOMPLETE,ok,9600
naive,0.30,2,naive_L0.30_s2,12,3108,943,2.94,INCOMPLETE,ok,9600
naive,0.30,3,naive_L0.30_s3,12,3108,877,2.94,INCOMPLETE,ok,9600
