arm,loss,seed,label,passes,total_injected,total_dropped,overhead_ratio,result,status,rate_bps
smart,0,1,smart_L0_s1,1,1058,0,1.00,DEPLOYED,ok,9600
smart,0,2,smart_L0_s2,1,1058,0,1.00,DEPLOYED,ok,9600
smart,0,3,smart_L0_s3,1,1058,0,1.00,DEPLOYED,ok,9600
smart,0,4,smart_L0_s4,1,1058,0,1.00,DEPLOYED,ok,9600
smart,0,5,smart_L0_s5,1,1058,0,1.00,DEPLOYED,ok,9600
smart,0.02,1,smart_L0.02_s1,2,1074,8,1.02,DEPLOYED,ok,9600
smart,0.02,2,smart_L0.02_s2,2,1070,6,1.01,DEPLOYED,ok,9600
smart,0.02,3,smart_L0.02_s3,2,1084,13,1.02,DEPLOYED,ok,9600
smart,0.02,4,smart_L0.02_s4,2,1142,42,1.08,DEPLOYED,ok,9600
smart,0.02,5,smart_L0.02_s5,2,1072,7,1.01,DEPLOYED,ok,9600
smart,0.05,1,smart_L0.05_s1,2,1102,22,1.04,DEPLOYED,ok,9600
smart,0.05,2,smart_L0.05_s2,3,1158,55,1.09,DEPLOYED,ok,9600
smart,0.05,3,smart_L0.05_s3,2,1120,41,1.06,DEPLOYED,ok,9600
smart,0.05,4,smart_L0.05_s4,2,1190,70,1.12,DEPLOYED,ok,9600
smart,0.05,5,smart_L0.05_s5,2,1098,30,1.04,DEPLOYED,ok,9600
smart,0.10,1,smart_L0.10_s1,3,1284,141,1.21,DEPLOYED,ok,9600
smart,0.10,2,smart_L0.10_s2,2,1181,91,1.12,DEPLOYED,ok,9600
smart,0.10,3,smart_L0.10_s3,2,1159,79,1.10,DEPLOYED,ok,9600
smart,0.10,4,smart_L0.10_s4,3,1302,171,1.23,DEPLOYED,ok,9600
smart,0.10,5,smart_L0.10_s5,1,1178,98,1.11,DEPLOYED,ok,9600
smart,0.20,1,smart_L0.20_s1,4,1326,255,1.25,DEPLOYED,ok,9600
smart,0.20,2,smart_L0.20_s2,4,1420,274,1.34,DEPLOYED,ok,9600
smart,0.20,3,smart_L0.20_s3,3,1310,202,1.24,DEPLOYED,ok,9600
smart,0.20,4,smart_L0.20_s4,3,1379,275,1.30,DEPLOYED,ok,9600
smart,0.20,5,smart_L0.20_s5,2,1313,234,1.24,DEPLOYED,ok,9600
smart,0.30,1,smart_L0.30_s1,6,1732,514,1.64,DEPLOYED,ok,9600
smart,0.30,2,smart_L0.30_s2,8,1806,568,1.71,DEPLOYED,ok,9600
smart,0.30,3,smart_L0.30_s3,5,1634,482,1.54,DEPLOYED,ok,9600
smart,0.30,4,smart_L0.30_s4,6,1757,559,1.66,DEPLOYED,ok,9600
smart,0.30,5,smart_L0.30_s5,5,1682,474,1.59,DEPLOYED,ok,9600
naive,0,1,naive_L0_s1,1,1058,0,1.00,DEPLOYED,ok,9600
naive,0,2,naive_L0_s2,1,1058,0,1.00,DEPLOYED,ok,9600
naive,0,3,naive_L0_s3,1,1058,0,1.00,DEPLOYED,ok,9600
naive,0.02,1,naive_L0.02_s1,2,2116,17,2.00,INCOMPLETE,ok,9600
naive,0.02,2,naive_L0.02_s2,2,2116,16,2.00,INCOMPLETE,ok,9600
naive,0.02,3,naive_L0.02_s3,2,2116,16,2.00,INCOMPLETE,ok,9600
naive,0.05,1,naive_L0.05_s1,2,2116,45,2.00,INCOMPLETE,ok,9600
naive,0.05,2,naive_L0.05_s2,2,2116,99,2.00,INCOMPLETE,ok,9600
naive,0.05,3,naive_L0.05_s3,2,2116,93,2.00,INCOMPLETE,ok,9600
naive,0.10,1,naive_L0.10_s1,2,2116,209,2.00,INCOMPLETE,ok,9600
naive,0.10,2,naive_L0.10_s2,2,2116,184,2.00,INCOMPLETE,ok,9600
naive,0.10,3,naive_L0.10_s3,2,2116,186,2.00,INCOMPLETE,ok,9600
naive,0.20,1,naive_L0.20_s1,2,2116,396,2.00,INCOMPLETE,ok,9600
naive,0.20,2,naive_L0.20_s2,2,2116,490,2.00,INCOMPLETE,ok,9600
naive,0.20,3,naive_L0.20_s3,2,2116,388,2.00,INCOMPLETE,ok,9600
naive,0.30,1,naive_L0.30_s1,2,2116,609,2.00,INCOMPLETE,ok,9600
naive,0.30,2,naive_L0.30_s2,2,2116,672,2.00,INCOMPLETE,ok,9600
naive,0.30,3,naive_L0.30_s3,2,2116,652,2.00,INCOMPLETE,ok,9600
