loss,seed,injected,dropped,claimed,rounds,rev_frames,sha,size,transport,payload_sha256,ts
0,1,1366,0,VERIFIED,2,2,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:40:51Z
0,2,1366,0,VERIFIED,2,2,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:41:19Z
0,3,1366,0,VERIFIED,2,2,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:41:46Z
0.02,1,1423,57,VERIFIED,3,3,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:42:16Z
0.02,2,1401,35,VERIFIED,3,3,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:42:45Z
0.02,3,1401,35,VERIFIED,3,3,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:43:05Z
0.05,1,1455,89,VERIFIED,3,3,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:43:34Z
0.05,2,1424,58,VERIFIED,3,3,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:43:53Z
0.05,3,1463,97,VERIFIED,4,4,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:44:25Z
0.10,1,1518,152,VERIFIED,4,4,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:44:57Z
0.10,2,1501,135,VERIFIED,3,3,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:45:27Z
0.10,3,1581,215,VERIFIED,4,4,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:45:59Z
0.20,1,1769,403,VERIFIED,8,8,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:46:39Z
0.20,2,1762,396,VERIFIED,7,7,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:47:06Z
0.20,3,1741,375,VERIFIED,8,8,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:47:46Z
0.30,1,1939,573,VERIFIED,10,10,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:48:30Z
0.30,2,2047,681,VERIFIED,11,11,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:49:15Z
0.30,3,2053,687,VERIFIED,9,9,MATCH,262144,zmq,a93c3523ca04cfb6d2e630373d357b2d53ae72dc73946c3d5274866ca67b7f79,2026-07-29T06:49:57Z
