# t_ms,src,dport,csp_flags,is_rdp,index,epoch,dropped
3101348285,5425,9,0x00,0,99,0,0
3101348504,5425,9,0x00,0,100,0,0
3101348723,5425,9,0x00,0,101,0,0
3101348942,5425,9,0x00,0,102,0,0
3101349161,5425,9,0x00,0,103,0,0
3101349380,5425,9,0x00,0,104,0,0
3101349599,5425,9,0x00,0,105,0,0
3101349818,5425,9,0x00,0,106,0,0
3101350037,5425,9,0x00,0,107,0,0
3101350256,5425,9,0x00,0,108,0,0
3101350475,5425,9,0x00,0,109,0,0
3101350694,5425,9,0x00,0,110,0,0
3101350913,5425,9,0x00,0,111,0,0
3101351132,5425,9,0x00,0,112,0,0
3101351351,5425,9,0x00,0,113,0,1
3101351564,5425,9,0x00,0,114,0,1
3101351778,5425,9,0x00,0,115,0,1
3101351991,5425,9,0x00,0,231,0,0
3101352210,5425,9,0x00,0,232,0,0
3101352429,5425,9,0x00,0,233,0,0
3101352648,5425,9,0x00,0,234,0,1
3101352862,5425,9,0x00,0,235,0,1
3101353075,5425,9,0x00,0,236,0,1
3101353289,5425,9,0x00,0,237,0,1
3101353503,5425,9,0x00,0,238,0,0
3101353722,5425,9,0x00,0,239,0,0
3101353941,5425,9,0x00,0,240,0,1
3101354154,5425,9,0x00,0,241,0,1
3101354368,5425,9,0x00,0,242,0,1
3101354581,5425,9,0x00,0,243,0,0
3101354800,5425,9,0x00,0,244,0,0
3101355019,5425,9,0x00,0,245,0,0
3101355238,5425,9,0x00,0,246,0,0
3101355457,5425,9,0x00,0,247,0,0
3101355671,5425,9,0x00,0,429,0,0
3101355890,5425,9,0x00,0,430,0,0
3101356109,5425,9,0x00,0,431,0,0
3101356328,5425,9,0x00,0,432,0,0
3101356547,5425,9,0x00,0,433,0,0
3101356766,5425,9,0x00,0,434,0,0
3101356985,5425,9,0x00,0,435,0,0
3101357204,5425,9,0x00,0,436,0,0
3101357423,5425,9,0x00,0,437,0,0
3101357642,5425,9,0x00,0,438,0,0
3101357861,5425,9,0x00,0,439,0,0
3101358080,5425,9,0x00,0,440,0,0
3101358299,5425,9,0x00,0,441,0,0
3101358518,5425,9,0x00,0,442,0,0
3101358737,5425,9,0x00,0,443,0,0
3101358956,5425,9,0x00,0,444,0,0
3101359174,5425,9,0x00,0,445,0,0
3101359388,5425,9,0x00,0,528,0,0
3101359607,5425,9,0x00,0,529,0,0
3101359825,5425,9,0x00,0,530,0,0
3101360044,5425,9,0x00,0,531,0,0
3101360263,5425,9,0x00,0,532,0,0
3101360482,5425,9,0x00,0,533,0,0
3101360701,5425,9,0x00,0,534,0,0
3101360920,5425,9,0x00,0,535,0,0
3101361139,5425,9,0x00,0,536,0,0
3101361358,5425,9,0x00,0,537,0,1
3101361572,5425,9,0x00,0,538,0,1
3101361785,5425,9,0x00,0,539,0,1
3101361999,5425,9,0x00,0,540,0,1
3101362213,5425,9,0x00,0,541,0,1
3101362426,5425,9,0x00,0,542,0,1
3101362640,5425,9,0x00,0,543,0,0
3101362859,5425,9,0x00,0,544,0,0
3101363078,5425,9,0x00,0,545,0,1
3101363291,5425,9,0x00,0,546,0,1
3101363505,5425,9,0x00,0,547,0,1
3101363718,5425,9,0x00,0,548,0,0
3101363937,5425,9,0x00,0,549,0,0
3101364156,5425,9,0x00,0,550,0,0
3101364375,5425,9,0x00,0,551,0,0
3101364594,5425,9,0x00,0,552,0,0
